MERGE_ID,ZIPCODE,TOTAL_POP
860,03444,13690
847,03445,120612
847,03446,120612
241,03447,38173
847,03448,120612
809,03449,27180
809,03450,27180
859,03451,10247
860,03452,13690
847,03455,120612
847,03456,120612
847,03457,120612
860,03458,13690
268,03461,110175
847,03462,120612
847,03464,120612
847,03465,120612
847,03466,120612
847,03467,120612
859,03470,10247
1632,03561,42362
873,03570,29597
1632,03574,42362
1632,03575,42362
877,03576,21741
877,03579,21741
825,03580,133511
873,03581,29597
877,03582,21741
1632,03583,42362
1632,03584,42362
825,03585,133511
825,03586,133511
877,03588,21741
877,03590,21741
877,03592,21741
1632,03593,42362
1632,03595,42362
877,03597,21741
1632,03598,42362
894,03601,13816
847,03602,120612
894,03603,13816
847,03604,120612
847,03605,120612
847,03607,120612
847,03608,120612
847,03609,120612
825,03740,133511
825,03741,133511
902,03743,16267
902,03745,16267
902,03746,16267
825,03748,133511
911,03750,11408
825,03751,133511
847,03752,120612
825,03753,133511
894,03754,13816
911,03755,11408
825,03765,133511
825,03766,133511
825,03768,133511
902,03770,16267
825,03771,133511
894,03773,13816
825,03774,133511
825,03777,133511
825,03779,133511
825,03780,133511
825,03781,133511
825,03782,133511
825,03784,133511
825,03785,133511
926,03801,26066
794,03809,16414
811,03810,80703
750,03811,137349
1632,03812,42362
873,03813,29597
811,03814,80703
811,03816,80703
813,03817,10881
813,03818,10881
750,03819,137349
937,03820,49921
937,03823,49921
939,03824,14638
750,03825,137349
750,03826,137349
945,03827,68983
1031,03830,14346
873,03832,29597
945,03833,68983
974,03835,71939
811,03836,80703
811,03837,80703
1632,03838,42362
750,03839,137349
926,03840,26066
750,03841,137349
953,03842,15345
945,03844,68983
1632,03845,42362
1632,03846,42362
1632,03847,42362
750,03848,137349
811,03849,80703
811,03850,80703
974,03851,71939
974,03852,71939
811,03853,80703
926,03854,26066
974,03855,71939
945,03856,68983
945,03857,68983
750,03858,137349
1632,03860,42362
750,03861,137349
945,03862,68983
811,03864,80703
750,03865,137349
974,03867,71939
974,03868,71939
937,03869,49921
945,03870,68983
945,03871,68983
1031,03872,14346
750,03873,137349
945,03874,68983
811,03875,80703
983,03878,11824
811,03882,80703
825,03883,133511
794,03884,16414
945,03885,68983
813,03886,10881
974,03887,71939
811,03890,80703
811,03894,80703
974,03901,71939
1000,03902,13421
937,03903,49921
937,03904,49921
937,03905,49921
974,03906,71939
1000,03907,13421
974,03908,71939
1000,03909,13421
1000,03910,13421
1000,03911,13421
1031,04001,14346
1006,04002,65350
1068,04003,18756
1006,04005,65350
1006,04006,65350
1210,04008,14583
1036,04009,22422
873,04010,29597
1011,04011,87202
1036,04015,22422
1068,04017,18756
